,,,,,,,,,,,,,,,,,,,,,
Iterations per tickets _6/20/17,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Ticket Number,Assigned To (CSR),Client/Account Name,Severity,Service Offering,Additional Info 1,Additional Info 2,Category,Status,Last Status Modified Date,Date Created-Format,Date Last Modified-Format,Response Date-Format,Date Closed-Format,PER Phase Date-Format,Parent Ticket Number,Child Ticket Number,PER Phase,Production Implementation Tracking,Summary,Time Spent (min),Age(Days)
5377-11094410,User1,Customer1,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-02.38.16,2014-11-10-07.21.04,2017-06-19-02.38.16,2014-11-10-08.08.15,,2017-03-06-00.00.00,,5377-11129660,Production Validation,MAR/ER,New trading aprtner for LUGATO,1813,953
5377-11094410,User1,Customer1,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-02.38.16,2014-11-10-07.21.04,2017-06-19-02.38.16,2014-11-10-08.08.15,,2017-03-06-00.00.00,,5377-11956847,Production Validation,MAR/ER,New trading aprtner for LUGATO,1813,953
5377-11094410,User1,Customer1,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-02.38.16,2014-11-10-07.21.04,2017-06-19-02.38.16,2014-11-10-08.08.15,,2017-03-06-00.00.00,,5377-13253088,Production Validation,MAR/ER,New trading aprtner for LUGATO,1813,953
5377-11286885,User2,Customer2,Sev 2,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-05.31.53,2015-02-20-06.18.34,2017-06-19-05.31.53,2015-05-12-09.21.55,,,,5377-11704698,On Hold,,"PER - New TP De Detriech (Orders, Invoic, ORDRSP)",1452,851
5377-11286885,User2,Customer2,Sev 2,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-05.31.53,2015-02-20-06.18.34,2017-06-19-05.31.53,2015-05-12-09.21.55,,,,5377-13423798,On Hold,,"PER - New TP De Detriech (Orders, Invoic, ORDRSP)",1452,851
5377-11738534,User3,Customer3,Sev 4,B2B Services Integration Plus (Managed Services),JUL/N JUN/A2(1)C1(2.5)M3(1.5),,S - PER - New Map,Waiting - Client,2017-06-19-15.30.14,2015-07-13-10.56.52,2017-06-19-15.30.14,2015-07-13-11.24.46,,2015-07-15-00.00.00,,,CTE Valiation/Testing,,PER for Amazon EDI 810 - BBU_BUSS_AMAZ_O_810_4010,990,708
5377-11994743,User4,Customer4,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-02.06.26,2015-09-25-15.17.59,2017-06-19-02.06.26,2015-09-25-15.32.11,,2017-05-01-00.00.00,,5377-12389221,Production Complete,MAY/EMLCR RC/MAY-S,CEVA PER GHO-2015-08026 Electronic Invoice - Argentina ,3774,634
5377-11994743,User4,Customer4,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-02.06.26,2015-09-25-15.17.59,2017-06-19-02.06.26,2015-09-25-15.32.11,,2017-05-01-00.00.00,,5377-12389282,Production Complete,MAY/EMLCR RC/MAY-S,CEVA PER GHO-2015-08026 Electronic Invoice - Argentina ,3774,634
5377-11994743,User4,Customer4,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-02.06.26,2015-09-25-15.17.59,2017-06-19-02.06.26,2015-09-25-15.32.11,,2017-05-01-00.00.00,,5377-12389306,Production Complete,MAY/EMLCR RC/MAY-S,CEVA PER GHO-2015-08026 Electronic Invoice - Argentina ,3774,634
5377-11994743,User4,Customer4,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-02.06.26,2015-09-25-15.17.59,2017-06-19-02.06.26,2015-09-25-15.32.11,,2017-05-01-00.00.00,,5377-12389315,Production Complete,MAY/EMLCR RC/MAY-S,CEVA PER GHO-2015-08026 Electronic Invoice - Argentina ,3774,634
5377-11994743,User4,Customer4,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-02.06.26,2015-09-25-15.17.59,2017-06-19-02.06.26,2015-09-25-15.32.11,,2017-05-01-00.00.00,,5377-12441872,Production Complete,MAY/EMLCR RC/MAY-S,CEVA PER GHO-2015-08026 Electronic Invoice - Argentina ,3774,634
